gender,age,emotion
"{'Woman': 13.835054636001587, 'Man': 86.16494536399841}",30,fear
"{'Woman': 87.81787753105164, 'Man': 12.182123959064484}",33,fear
"{'Woman': 41.5339320898056, 'Man': 58.46606492996216}",31,fear
"{'Woman': 7.368367910385132, 'Man': 92.63163805007935}",29,sad
"{'Woman': 11.352811008691788, 'Man': 88.64718675613403}",29,sad
"{'Woman': 2.751493826508522, 'Man': 97.24851250648499}",29,sad
"{'Woman': 17.584148049354553, 'Man': 82.41585493087769}",32,fear
"{'Woman': 63.90289068222046, 'Man': 36.09710335731506}",33,fear
"{'Woman': 80.26776313781738, 'Man': 19.732241332530975}",34,surprise
"{'Woman': 59.14497971534729, 'Man': 40.85502028465271}",33,fear
"{'Woman': 76.08181834220886, 'Man': 23.918181657791138}",34,fear
"{'Woman': 49.255648255348206, 'Man': 50.744348764419556}",33,fear
"{'Woman': 30.951309204101562, 'Man': 69.04869079589844}",34,fear
"{'Woman': 93.84158253669739, 'Man': 6.1584170907735825}",34,happy
"{'Woman': 53.54716181755066, 'Man': 46.45284414291382}",33,fear
"{'Woman': 19.9755996465683, 'Man': 80.02439737319946}",33,fear
"{'Woman': 40.64836800098419, 'Man': 59.35163497924805}",34,fear
"{'Woman': 33.01214277744293, 'Man': 66.98785424232483}",34,fear
"{'Woman': 10.899490863084793, 'Man': 89.10050988197327}",30,fear
"{'Woman': 47.65392243862152, 'Man': 52.34608054161072}",32,fear
"{'Woman': 10.652945935726166, 'Man': 89.34705257415771}",30,fear
"{'Woman': 20.46203315258026, 'Man': 79.53796982765198}",33,happy
"{'Woman': 35.7485294342041, 'Man': 64.2514705657959}",32,fear
"{'Woman': 30.89255392551422, 'Man': 69.10744309425354}",36,fear
"{'Woman': 18.196934461593628, 'Man': 81.80306553840637}",29,neutral
"{'Woman': 52.07892060279846, 'Man': 47.92107939720154}",33,happy
"{'Woman': 94.3428635597229, 'Man': 5.657131224870682}",34,surprise
"{'Woman': 98.36156964302063, 'Man': 1.6384318470954895}",34,happy
"{'Woman': 95.57766318321228, 'Man': 4.422328621149063}",34,happy
"{'Woman': 81.80480003356934, 'Man': 18.195199966430664}",34,happy
"{'Woman': 50.239717960357666, 'Man': 49.760282039642334}",35,happy
"{'Woman': 79.5511782169342, 'Man': 20.448820292949677}",34,happy
"{'Woman': 84.32376980781555, 'Man': 15.676231682300568}",35,angry
"{'Woman': 97.99569845199585, 'Man': 2.004307322204113}",34,angry
"{'Woman': 95.59665322303772, 'Man': 4.403352364897728}",34,happy
"{'Woman': 94.41695809364319, 'Man': 5.583043023943901}",34,happy
"{'Woman': 60.56777834892273, 'Man': 39.43221569061279}",33,fear
"{'Woman': 56.141239404678345, 'Man': 43.85875761508942}",34,fear
"{'Woman': 83.90571475028992, 'Man': 16.09428972005844}",33,sad
"{'Woman': 98.27933311462402, 'Man': 1.7206646502017975}",34,fear
"{'Woman': 98.01018238067627, 'Man': 1.9898219034075737}",34,happy
"{'Woman': 97.786945104599, 'Man': 2.213050425052643}",33,happy
"{'Woman': 95.3294038772583, 'Man': 4.670592024922371}",33,happy
"{'Woman': 99.07894730567932, 'Man': 0.9210562333464622}",33,fear
"{'Woman': 98.08145761489868, 'Man': 1.9185412675142288}",35,angry
"{'Woman': 98.41638207435608, 'Man': 1.5836142003536224}",34,fear
"{'Woman': 96.86124324798584, 'Man': 3.1387533992528915}",33,happy
"{'Woman': 90.97470045089722, 'Man': 9.025299549102783}",34,happy
"{'Woman': 92.67999529838562, 'Man': 7.320007681846619}",34,happy
"{'Woman': 91.6949212551117, 'Man': 8.305075764656067}",33,happy
"{'Woman': 94.18275952339172, 'Man': 5.817234516143799}",34,happy
"{'Woman': 98.24387431144714, 'Man': 1.7561303451657295}",35,fear
"{'Woman': 97.07372188568115, 'Man': 2.926282584667206}",33,happy
"{'Woman': 97.33766913414001, 'Man': 2.6623303070664406}",34,happy
"{'Woman': 98.55403304100037, 'Man': 1.4459678903222084}",34,fear
"{'Woman': 96.96593284606934, 'Man': 3.034067526459694}",33,happy
"{'Woman': 99.18389916419983, 'Man': 0.8161029778420925}",33,neutral
"{'Woman': 99.24684166908264, 'Man': 0.753155630081892}",32,neutral
"{'Woman': 99.32190775871277, 'Man': 0.6780956406146288}",31,neutral
"{'Woman': 99.18296933174133, 'Man': 0.8170329034328461}",32,neutral
"{'Woman': 99.24812316894531, 'Man': 0.7518735714256763}",32,neutral
"{'Woman': 97.75503873825073, 'Man': 2.244962751865387}",33,neutral
"{'Woman': 65.77202081680298, 'Man': 34.22798216342926}",35,sad
"{'Woman': 92.35977530479431, 'Man': 7.6402246952056885}",31,neutral
"{'Woman': 93.81746649742126, 'Man': 6.182530894875526}",32,neutral
"{'Woman': 96.95593118667603, 'Man': 3.0440662056207657}",31,neutral
"{'Woman': 92.24557876586914, 'Man': 7.7544204890728}",31,neutral
"{'Woman': 95.14666795730591, 'Man': 4.853326454758644}",33,neutral
"{'Woman': 94.82031464576721, 'Man': 5.179687216877937}",34,neutral
"{'Woman': 91.06134176254272, 'Man': 8.938664197921753}",35,sad
"{'Woman': 97.32139706611633, 'Man': 2.678602747619152}",34,neutral
"{'Woman': 99.26695823669434, 'Man': 0.7330404594540596}",33,fear
"{'Woman': 99.51046705245972, 'Man': 0.48953862860798836}",34,fear
"{'Woman': 99.00941252708435, 'Man': 0.990594644099474}",33,fear
"{'Woman': 97.05225825309753, 'Man': 2.947740815579891}",34,happy
"{'Woman': 98.72021079063416, 'Man': 1.279783621430397}",36,angry
"{'Woman': 99.59295392036438, 'Man': 0.4070495255291462}",34,sad
"{'Woman': 99.35577511787415, 'Man': 0.6442258134484291}",34,sad
"{'Woman': 87.14657425880432, 'Man': 12.853430211544037}",34,happy
"{'Woman': 99.0562915802002, 'Man': 0.9437073953449726}",32,happy
"{'Woman': 96.7286765575409, 'Man': 3.271321579813957}",32,sad
"{'Woman': 97.3625659942627, 'Man': 2.637428790330887}",33,neutral
"{'Woman': 98.21715950965881, 'Man': 1.7828429117798805}",33,neutral
"{'Woman': 98.4835147857666, 'Man': 1.5164815820753574}",33,happy
"{'Woman': 98.37485551834106, 'Man': 1.6251452267169952}",32,happy
"{'Woman': 97.15026617050171, 'Man': 2.8497274965047836}",32,happy
"{'Woman': 33.46033692359924, 'Man': 66.53966903686523}",33,happy
"{'Woman': 98.94846081733704, 'Man': 1.051544863730669}",33,happy
"{'Woman': 96.17211818695068, 'Man': 3.827885538339615}",34,happy
"{'Woman': 99.36079978942871, 'Man': 0.6392063107341528}",33,happy
